,index,recursion,tabulation,matrix
0,1,2.749962732195854e-07,5.450216121971607e-07,1.0300078429281712e-06
1,2,2.150190994143486e-07,4.799803718924522e-07,2.5900080800056458e-06
2,4,4.6500936150550843e-07,5.900044925510884e-07,4.184979479759931e-06
3,8,3.1499890610575677e-06,8.150003850460053e-07,5.615013651549816e-06
4,16,0.00015379000687971712,1.285015605390072e-06,7.490010466426611e-06
5,32,0.32241062498651446,2.1149753592908382e-06,9.394960943609477e-06
6,64,inf,4.294980317354202e-06,1.1139980051666498e-05
7,128,inf,7.955054752528667e-06,1.3699999544769526e-05
8,256,inf,1.751497620716691e-05,1.5975034330040216e-05
9,512,inf,6.92400150001049e-05,1.9399984739720822e-05
10,1024,inf,8.855503983795643e-05,1.7999997362494467e-05
11,2048,inf,0.0002706450060941279,2.766501856967807e-05
12,4096,inf,0.0006231999956071377,5.683000199496746e-05
13,8192,inf,0.002256405004300177,0.00015741500537842513
14,16384,inf,0.011221749999094754,0.0004666849854402244
15,32768,inf,0.04885786499362439,0.001518935023341328
16,65536,inf,0.18248272000346333,0.0036735199857503174
